"","species","hw.raw","hw.logit","time"
"747","D","0.26994631913449","-1.04624758044596","trough"
"748","D","0.175557660279505","-1.61744411049296","trough"
"749","D","0.167670014491231","-1.67566751108893","trough"
"750","D","0.153260147","-1.78847212979744","trough"
"751","D","0.156323618","-1.76373144777383","trough"
"752","D","0.143053036","-1.87422998739984","trough"
"753","D","0.175281359","-1.61944548343392","trough"
"754","D","0.163311655","-1.7088598649623","trough"
"755","D","0.134336033","-1.95199457415158","trough"
"756","D","0.177967542","-1.60010069372317","trough"
"757","D","0.157023972","-1.75813579561807","trough"
"758","D","0.163216644","-1.70959199019214","trough"
"759","D","0.14155953","-1.88723959106617","trough"
"760","D","0.139069461","-1.90921150829768","trough"
"761","D","0.153281994","-1.78829414214648","trough"
"762","D","0.165445197","-1.69251638952969","trough"
"763","D","0.15114303","-1.80582862716523","trough"
"764","D","0.180267799","-1.58373051350999","trough"
"765","D","0.207475001","-1.40215100680643","trough"
"766","D","0.160946859","-1.72719392909253","trough"
"767","D","0.135776541","-1.93882916854988","trough"
"768","D","0.159834335","-1.73590098006682","trough"
"769","D","0.158269283","-1.74824031676705","trough"
"770","D","0.123686136","-2.05362967777558","trough"
"771","D","0.132762162","-1.96652930939204","trough"
"772","D","0.155196842","-1.77278086502673","trough"
"773","D","0.169608113","-1.66114679813086","trough"
"774","D","0.148036573","-1.83169416990507","trough"
"775","D","0.1412217","-1.89019971271301","trough"
"776","D","0.158018043","-1.75023117087943","trough"
"777","D","0.115926018","-2.13304761862463","trough"
"778","D","0.163331544","-1.70870665354634","trough"
"779","D","0.149980865","-1.81544890430352","trough"
"780","D","0.139854939","-1.9022419609502","trough"
"781","D","0.152834645","-1.79194321378566","trough"
"782","D","0.177696257","-1.60204310095673","trough"
"783","D","0.158330376","-1.74775663014998","trough"
"784","D","0.154040514","-1.7821284383549","trough"
"785","D","0.15830009","-1.74799639045437","trough"
"786","D","0.162214625","-1.71733597675762","trough"
"787","D","0.206672135","-1.40722487780963","trough"
"788","D","0.154973082","-1.77458486767434","trough"
"789","D","0.14184346","-1.88475673427332","trough"
"790","D","0.205016645","-1.41773668629092","trough"
"791","D","0.152022597","-1.79859158356767","trough"
"792","D","0.173888432","-1.62957615508869","trough"
