species,hw.raw,hw.logit,time
D,0.371074109,-0.570705244,trough
D,0.754238082,1.068113984,trough
D,0.192665603,-1.498391135,trough
D,0.168264528,-1.671197935,trough
D,0.167489883,-1.677024449,trough
D,0.840180129,1.586904404,trough
D,0.210705881,-1.381888432,trough
D,0.204063841,-1.423817352,trough
D,0.168080761,-1.672578046,trough
D,0.172029963,-1.643201072,trough
D,0.176848616,-1.608128451,trough
D,0.174283041,-1.626699188,trough
D,0.177964891,-1.60011966,trough
D,0.166294157,-1.686064055,trough
D,0.16839163,-1.670244149,trough
D,0.168490836,-1.669500129,trough
D,0.166272315,-1.686229698,trough
D,0.169548507,-1.661591244,trough
D,0.194697708,-1.484838474,trough
D,0.166311323,-1.685933881,trough
D,0.176655981,-1.609514852,trough
D,0.253147617,-1.135499497,trough
D,0.199456107,-1.453548122,trough
D,0.191327725,-1.50737782,trough
D,0.166575683,-1.683930681,trough
D,0.195809069,-1.477475263,trough
D,0.166624448,-1.683561465,trough
D,0.171655833,-1.645959129,trough
D,0.166801342,-1.682222921,trough
D,0.172070978,-1.642899025,trough
D,0.204836376,-1.41888541,trough
D,0.243019041,-1.191341804,trough
D,0.174229008,-1.6270928,trough
D,0.299516501,-0.89773343,trough
D,0.167355757,-1.678035647,trough
D,0.269946319,-1.04624758,trough
D,0.17555766,-1.61744411,trough
D,0.167670014,-1.675667511,trough
D,0.153260147,-1.78847213,trough
D,0.156323618,-1.763731448,trough
D,0.143053036,-1.874229987,trough
D,0.175281359,-1.619445483,trough
D,0.163311655,-1.708859865,trough
D,0.134336033,-1.951994574,trough
D,0.177967542,-1.600100694,trough
D,0.157023972,-1.758135796,trough
D,0.163216644,-1.70959199,trough
D,0.14155953,-1.887239591,trough
